"correct_type" "svm" "tree" "maxent"
"1" "Positive" "Positive" "Negative" "Positive"
"2" "Positive" "Positive" "Positive" "Positive"
"3" "Positive" "Negative" "Positive" "Negative"
"4" "Positive" "Negative" "Negative" "Negative"
"5" "Positive" "Positive" "Positive" "Positive"
"6" "Positive" "Positive" "Positive" "Positive"
"7" "Positive" "Positive" "Positive" "Positive"
"8" "Positive" "Negative" "Positive" "Positive"
"9" "Positive" "Positive" "Positive" "Positive"
"10" "Positive" "Negative" "Positive" "Positive"
"11" "Positive" "Negative" "Positive" "Negative"
"12" "Positive" "Positive" "Positive" "Positive"
"13" "Positive" "Positive" "Positive" "Negative"
"14" "Positive" "Positive" "Positive" "Positive"
"15" "Positive" "Positive" "Positive" "Positive"
"16" "Positive" "Positive" "Positive" "Positive"
"17" "Positive" "Positive" "Positive" "Positive"
"18" "Positive" "Negative" "Positive" "Positive"
"19" "Positive" "Positive" "Positive" "Positive"
"20" "Positive" "Positive" "Positive" "Positive"
"21" "Positive" "Negative" "Positive" "Negative"
"22" "Positive" "Positive" "Positive" "Positive"
"23" "Positive" "Negative" "Positive" "Positive"
"24" "Positive" "Positive" "Positive" "Positive"
"25" "Positive" "Positive" "Negative" "Positive"
"26" "Positive" "Positive" "Positive" "Positive"
"27" "Positive" "Positive" "Positive" "Positive"
"28" "Positive" "Negative" "Positive" "Positive"
"29" "Positive" "Positive" "Positive" "Positive"
"30" "Positive" "Negative" "Positive" "Positive"
"31" "Positive" "Negative" "Positive" "Negative"
"32" "Positive" "Positive" "Positive" "Positive"
"33" "Positive" "Positive" "Positive" "Positive"
"34" "Positive" "Negative" "Negative" "Negative"
"35" "Positive" "Negative" "Positive" "Positive"
"36" "Positive" "Negative" "Positive" "Positive"
"37" "Positive" "Positive" "Positive" "Positive"
"38" "Positive" "Negative" "Positive" "Negative"
"39" "Positive" "Negative" "Positive" "Positive"
"40" "Positive" "Negative" "Positive" "Positive"
"41" "Positive" "Negative" "Positive" "Negative"
"42" "Positive" "Positive" "Positive" "Positive"
"43" "Positive" "Positive" "Positive" "Positive"
"44" "Positive" "Positive" "Negative" "Positive"
"45" "Positive" "Positive" "Positive" "Positive"
"46" "Positive" "Positive" "Positive" "Positive"
"47" "Positive" "Positive" "Positive" "Positive"
"48" "Positive" "Positive" "Positive" "Positive"
"49" "Positive" "Negative" "Positive" "Positive"
"50" "Positive" "Positive" "Positive" "Positive"
"51" "Positive" "Negative" "Positive" "Negative"
"52" "Positive" "Positive" "Negative" "Positive"
"53" "Positive" "Negative" "Positive" "Negative"
"54" "Positive" "Positive" "Negative" "Positive"
"55" "Positive" "Positive" "Positive" "Positive"
"56" "Positive" "Positive" "Positive" "Positive"
"57" "Positive" "Positive" "Positive" "Positive"
"58" "Positive" "Negative" "Positive" "Positive"
"59" "Positive" "Negative" "Positive" "Positive"
"60" "Positive" "Positive" "Positive" "Positive"
"61" "Positive" "Negative" "Positive" "Negative"
"62" "Positive" "Positive" "Positive" "Positive"
